NAMESPACE         NAME                                             KIND
cert-manager      cert-manager                                     ServiceMonitor
default           echo                                             ServiceMonitor
flux-system       flux-operator                                    ServiceMonitor
kube-system       cilium-agent                                     ServiceMonitor
kube-system       cilium-operator                                  ServiceMonitor
kube-system       metrics-server                                   ServiceMonitor
kube-system       spegel                                           ServiceMonitor
network           cloudflare-dns                                   ServiceMonitor
network           cloudflare-tunnel                                ServiceMonitor
network           wg-easy                                          ServiceMonitor
observability     kube-prometheus-stack-alertmanager               ServiceMonitor
observability     kube-prometheus-stack-apiserver                  ServiceMonitor
observability     kube-prometheus-stack-coredns                    ServiceMonitor
observability     kube-prometheus-stack-kube-controller-manager    ServiceMonitor
observability     kube-prometheus-stack-kube-etcd                  ServiceMonitor
observability     kube-prometheus-stack-kube-proxy                 ServiceMonitor
observability     kube-prometheus-stack-kube-scheduler             ServiceMonitor
observability     kube-prometheus-stack-kube-state-metrics         ServiceMonitor
observability     kube-prometheus-stack-kubelet                    ServiceMonitor
observability     kube-prometheus-stack-operator                   ServiceMonitor
observability     kube-prometheus-stack-prometheus                 ServiceMonitor
observability     kube-prometheus-stack-prometheus-node-exporter   ServiceMonitor
observability     smartctl-exporter                                ServiceMonitor
storage           longhorn-prometheus-servicemonitor               ServiceMonitor
volsync-system    volsync                                          ServiceMonitor
database-system   cloudnative-pg-clusters                          PodMonitor
flux-system       flux-controllers                                 PodMonitor
kube-system       reloader                                         PodMonitor
network           envoy-proxy                                      PodMonitor
Total monitors deployed:
      29
